Manufacturer,Device,Antibody,Sample Type,N Positive,N Negative,Sensitivity (%),Sensitivity 95% CI,Specificity (%),Specificity 95% CI,PPV at 5%,NPV at 5%,PPV at 20%,NPV at 20%,PPV at 50%,NPV at 50%
EUROIMMUN Medizinische Labordiagnostika AG,Anti-SARS-CoV-2-NCP ELISA (IgM),IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Top Biotech Sdn. Bhd.,Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
Euroimmun,SARS-COV-2 ELISA (IgG),IGG,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),100.0,100.0% (95.4-100.0%),100.0%,99.5%,100.0%,97.6%,100.0%,90.9%
Advaite Inc.,ADVAITE RapCOV Rapid COVID-19 Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),98.8,98.8% (93.3-99.8%),78.5%,99.3%,94.5%,96.7%,98.6%,88.1%
Aurora Biomed Inc,COVID-19 IgG/IgM  Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
"Doctorspot Technologies Inc,",COVID-19 SARS-CoV-2 IgM/IgG Antibody Rapid Test Kit (Colloidal Gold),IGG,"Plasma, Serum",30,80,26.7,26.7% (14.2-44.4%),100.0,100.0% (95.4-100.0%),100.0%,96.3%,100.0%,84.5%,100.0%,57.7%
"Plexense, Inc.",ACCEL ELISA COVID-19,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Artron Laboratories, Inc.",OTO-Artron COVID-19 IgG/IgM Antibody Test,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
SurExam Bio-Tech Co. Ltd.,Surplex COVID-19 IgM/IgG Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
"InBios International, Inc.",InBios SCoV-2 Detect IgM/IgG Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),100.0,100.0% (95.4-100.0%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"InBios International, Inc.",InBios SCoV-2 Detect™ IgG Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),100.0,100.0% (95.4-100.0%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Vincitek LLC,Vincitek S2-AB Test Card,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
Invenio Medical Inc.,COVID-19 IgG/IgM Ab Rapid Test,IGG,"Plasma, Serum",30,80,80.0,80.0% (62.7-90.5%),100.0,100.0% (95.4-100.0%),100.0%,99.0%,100.0%,95.2%,100.0%,83.3%
"Acon Biotech (Hangzhou) Co., LTD",Acon SARS-CoV2 IgG/IgM Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),97.5,97.5% (91.3-99.3%),67.8%,100.0%,90.9%,100.0%,97.6%,100.0%
Advaite Inc.,Advaite RapCov Rapid COVID-19 Test,IGG,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),98.8,98.8% (93.3-99.8%),79.7%,99.6%,94.9%,98.3%,98.7%,93.7%
MP Biomedicals Asia Pacific Pte. Ltd.,MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),91.2,91.2% (83.0-95.7%),36.8%,99.8%,73.4%,99.1%,91.7%,96.5%
MedMira Inc.,REVEALCOVID-19 Total Antibody Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Biocan Diagnostics Inc,Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),100.0,100.0% (95.4-100.0%),100.0%,99.3%,100.0%,96.8%,100.0%,88.2%
"ZEUS Scientific, Inc.",ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),96.2,96.2% (89.5-98.7%),58.4%,100.0%,87.0%,100.0%,96.4%,100.0%
"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),97.5,97.5% (91.3-99.3%),67.1%,99.8%,90.6%,99.2%,97.5%,96.7%
QIAGEN GmbH,QIAreach Anti-SARS-CoV-2 Total Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Zeus Scientific, Inc.",Zeus ELISA SARS-CoV-2 Total Antibody Test System,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Healgen,COVID-19 IgG/IgM Rapid Test Cassette,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),97.5,97.5% (91.3-99.3%),67.1%,99.8%,90.6%,99.2%,97.5%,96.7%
Biocan Diagnostics Inc,Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),98.8,98.8% (93.3-99.8%),77.8%,99.1%,94.3%,96.0%,98.5%,85.6%
"NOWDiagnostics, Inc.",ADEXUSDx COVID-19 Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Biohit Healthcare (Hefei) Co., Ltd.",SARS-CoV-2 IgM/IgG Antibody Test Kit,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),95.0,95.0% (87.8-98.0%),50.4%,99.8%,82.9%,99.1%,95.1%,96.6%
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),100.0,100.0% (95.4-100.0%),100.0%,99.3%,100.0%,96.8%,100.0%,88.2%
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Rapid Test,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),98.8,98.8% (93.3-99.8%),77.8%,99.1%,94.3%,96.0%,98.5%,85.6%
"Access Bio, Inc.",CareStart EZ COVID-19 IgM/IgG,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),100.0,100.0% (95.4-100.0%),100.0%,99.8%,100.0%,99.2%,100.0%,96.8%
Bio-Rad,Platelia SARS-CoV-2 Total Ab,IGG,"Plasma, Serum",60,160,N/A,0.0% (0.0-6.0%),N/A,0.0% (0.0-2.3%),N/A,N/A,N/A,N/A,N/A,N/A
"Guangzhou Wondfo Biotech Co., Ltd.",Wondfo SARS-CoV-2 Antibody Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
LumiraDx UK Ltd,Modified LumiraDx SARS-CoV-2 Ab Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Euroimmun Medizinische Labordiagnostika AG,EUROIMMUN Anti-SARS-CoV-2 S1 Curve ELISA (IgG),IGG,"Plasma, Serum",60,160,90.0,90.0% (79.9-95.3%),100.0,100.0% (97.7-100.0%),100.0%,99.5%,100.0%,97.6%,100.0%,90.9%
"Humasis Co., Ltd.",Humasis COVID-19 IgG/IgM Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),100.0,100.0% (95.4-100.0%),100.0%,99.3%,100.0%,96.8%,100.0%,88.2%
LumiraDX UK Ltd,LumiraDx SARS-CoV-2 Ab Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Biolidics Ltd,2019-nCoV IgG/IgM Detection Kit (Colloidal Gold),IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),95.0,95.0% (87.8-98.0%),50.4%,99.8%,82.9%,99.1%,95.1%,96.6%
"Xiamen Biotime Biotechnology Co., Ltd.",Biotime SARS-CoV-2 IgG/IgM Rapid Qualitative Test,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),97.5,97.5% (91.3-99.3%),67.1%,99.8%,90.6%,99.2%,97.5%,96.7%
"BTNX, Inc.",COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),100.0,100.0% (95.4-100.0%),100.0%,99.3%,100.0%,96.8%,100.0%,88.2%
"Cellex, Inc.",Cellex qSARs-CoV-2 IgG/IgM Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
ChemBio,DPP COVID-19 IgM/IgG System,IGG,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),91.2,91.2% (83.0-95.7%),30.6%,98.5%,67.7%,93.2%,89.3%,77.4%
"Chemtron Biotech, Inc.",Rapid COVID-19 IgM/IgG Antibody Screen Test,IGG,"Plasma, Serum",30,80,63.3,63.3% (45.5-78.1%),98.8,98.8% (93.3-99.8%),72.7%,98.1%,92.7%,91.5%,98.1%,72.9%
"W.H.P.M, Inc.",Covisure Covid-19 IgM/IgG Rapid Test,IGG,"Plasma, Serum",30,80,70.0,70.0% (52.1-83.3%),95.0,95.0% (87.8-98.0%),42.4%,98.4%,77.8%,92.7%,93.3%,76.0%
Euroimmun,SARS-COV-2 ELISA (IgA),IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Biomedomics,COVID-19 IgM-IgG Rapid Test kit,IGG,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),100.0,100.0% (95.4-100.0%),100.0%,98.6%,100.0%,93.8%,100.0%,78.9%
"Shanghai Fosun Long March Medical Science Co., Ltd.",Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,IGG,"Plasma, Serum",30,80,36.7,36.7% (21.9-54.5%),98.8,98.8% (93.3-99.8%),60.7%,96.7%,88.0%,86.2%,96.7%,60.9%
"GP Getein Biotech, Inc.",One Step Test for Novel Coronavirus (2019-nCoV) IgM/IgG antibody (Colloidal Gold),IGG,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),100.0,100.0% (95.4-100.0%),100.0%,98.6%,100.0%,93.8%,100.0%,78.9%
Liming Bio,Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
Atlas-Link (Beijing),Nova COVID-19 IgG/IgM Antibody Rapid Test,IGG,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),90.0,90.0% (81.5-94.8%),32.1%,99.4%,69.2%,97.3%,90.0%,90.0%
"SD BIOSENSOR, Inc.",STANDARD Q COVID-19 IgM/IgG Duo,IGG,"Plasma, Serum",30,80,73.3,73.3% (55.6-85.8%),98.8,98.8% (93.3-99.8%),75.5%,98.6%,93.6%,93.7%,98.3%,78.7%
"Sugentech, Inc.",Sugentech SGTi-flex COVID-19 IgM/IgG,IGG,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),100.0,100.0% (95.4-100.0%),100.0%,99.7%,100.0%,98.4%,100.0%,93.8%
TESTSEALABS,SARS-COV-2-IgG/IgM Test Cassette,IGG,"Plasma, Serum",30,80,40.0,40.0% (24.6-57.7%),93.8,93.8% (86.2-97.3%),25.2%,96.7%,61.5%,86.2%,86.5%,61.0%
Nanjing Vazyme Medical Technology Co. LTD,Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),90.0,90.0% (81.5-94.8%),33.7%,99.8%,70.7%,99.1%,90.6%,96.4%
