manufacturer,device,n_sensitivity,sensitivity,n_specificity,specificity,cluster,ppv_0.1,npv_0.1,ppv_0.2,npv_0.2,ppv_0.3,npv_0.3,ppv_0.4,npv_0.4,ppv_0.5,npv_0.5,ppv_0.6,npv_0.6,ppv_0.7,npv_0.7,ppv_0.8,npv_0.8,ppv_0.9,npv_0.9
Megna Health Inc.,Megna Rapid COVID-19 IgM/IgG Combo Test Kit,30,1.0,80,0.95,1,0.6896551724137929,1.0,0.8333333333333333,1.0,0.8955223880597014,1.0,0.9302325581395349,1.0,0.9523809523809523,1.0,0.9677419354838709,1.0,0.979020979020979,1.0,0.9876543209876543,1.0,0.994475138121547,1.0
"NOWDiagnostics, Inc.",ADEXUSDx COVID-19 Test,30,0.9333333333333333,80,1.0,1,1.0,0.9926470588235293,1.0,0.9836065573770492,1.0,0.9722222222222222,1.0,0.9574468085106383,1.0,0.9375,1.0,0.9090909090909092,1.0,0.8653846153846155,1.0,0.7894736842105262,1.0,0.625
Nanjing Vazyme Medical Technology Co. LTD,Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),30,0.9666666666666667,80,0.6875,4,0.2557883131201764,0.9946416610850637,0.4360902255639098,0.9880239520958083,0.57002457002457,0.9796437659033078,0.6734397677793904,0.9686888454011742,0.7557003257328989,0.953757225433526,0.8226950354609929,0.9322033898305084,0.8783126014061655,0.898366606170599,0.9252243270189432,0.8375634517766497,0.9653259361997226,0.6962025316455696
NanoEntek Inc,FREND™ COVID-19 IgG/IgM Duo test,30,0.9666666666666667,80,0.9875,1,0.8957528957528962,0.9962634283045306,0.9508196721311478,0.9916317991631799,0.9707112970711298,0.9857397504456328,0.9809725158562369,0.9779917469050895,0.9872340425531916,0.9673469387755101,0.9914529914529915,0.9518072289156626,0.994488671157379,0.9269882659713169,0.9967776584317939,0.8810408921933085,0.9985652797704448,0.7669902912621359
"Nantong Egens Biotechnology Co., Ltd.",COVID-19 IgG/IgM Rapid Test Kit,30,0.7666666666666667,80,0.5,2,0.14556962025316456,0.9507042253521127,0.27710843373493976,0.8955223880597015,0.3965517241379311,0.8333333333333334,0.5054945054945055,0.7627118644067796,0.605263157894737,0.6818181818181819,0.696969696969697,0.5882352941176472,0.7815533980582524,0.4787234042553193,0.8598130841121495,0.34883720930232553,0.9324324324324326,0.1923076923076923
"Nirmidas Biotech, Inc",COVID-19 (SARS-CoV-2) IgM/IgG Antibody Detection Kit,60,0.95,160,0.98125,1,0.849162011173184,0.9943701618578465,0.9268292682926828,0.9874213836477987,0.9559748427672954,0.9786286731967943,0.9712460063897763,0.9671457905544147,0.9806451612903225,0.9515151515151514,0.9870129870129869,0.9289940828402367,0.9916123019571296,0.8937381404174572,0.9950900163666121,0.8306878306878305,0.9978118161925602,0.6855895196506548
"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),30,1.0,80,0.9625,1,0.7476635514018694,1.0,0.8695652173913044,1.0,0.9195402298850575,1.0,0.9467455621301776,1.0,0.9638554216867469,1.0,0.975609756097561,1.0,0.984182776801406,1.0,0.9907120743034057,1.0,0.995850622406639,1.0
"Ortho-Clinical Diagnostics, Inc.",VITROS Immunodiagnostic Products Anti-SARS-CoV-2 IgG Reagent Pack,30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"PCL, Inc.",PCL COVID19 IgG/IgM Rapid Gold,30,0.9666666666666667,80,0.9875,1,0.8957528957528962,0.9962634283045306,0.9508196721311478,0.9916317991631799,0.9707112970711298,0.9857397504456328,0.9809725158562369,0.9779917469050895,0.9872340425531916,0.9673469387755101,0.9914529914529915,0.9518072289156626,0.994488671157379,0.9269882659713169,0.9967776584317939,0.8810408921933085,0.9985652797704448,0.7669902912621359
Phamatech,COVID19 RAPID TEST,30,0.8666666666666667,80,0.9375,3,0.6064139941690962,0.9844433641225085,0.7761194029850746,0.9656652360515022,0.8559670781893004,0.9425493716337522,0.9023861171366595,0.9133964817320703,0.9327354260089686,0.8754863813229572,0.9541284403669724,0.8241758241758242,0.9700199866755496,0.7508342602892103,0.9822904368358915,0.6373937677053825,0.9920508744038156,0.43859649122807015
"Plexense, Inc.",ACCEL ELISA COVID-19,30,0.7333333333333333,80,1.0,3,1.0,0.9712230215827338,1.0,0.9375,1.0,0.8974358974358974,1.0,0.8490566037735848,1.0,0.7894736842105263,1.0,0.7142857142857143,1.0,0.6164383561643836,1.0,0.4838709677419354,1.0,0.29411764705882343
"Polymedco, Inc.",Polystat SARS-CoV-2 Antibody Test,30,0.7666666666666667,80,0.9125,3,0.49329758713136723,0.9723729649728663,0.6865671641791044,0.9399141630901288,0.7896995708154506,0.9012345679012346,0.8538283062645012,0.8543563068920675,0.8975609756097561,0.7963636363636364,0.9292929292929293,0.7227722772277229,0.9533678756476685,0.6263107721639658,0.9722589167767504,0.4943566591422121,0.9874776386404293,0.3029045643153527
"Predictive Laboratories, Inc.",Assurance AB COVID-19 IgM/IgG Rapid Antibody Test,30,0.9,80,1.0,1,1.0,0.989010989010989,1.0,0.975609756097561,1.0,0.958904109589041,1.0,0.9375,1.0,0.9090909090909091,1.0,0.8695652173913043,1.0,0.810810810810811,1.0,0.7142857142857143,1.0,0.5263157894736843
QIAGEN GmbH,QIAreach Anti-SARS-CoV-2 Total Test,30,1.0,80,0.975,1,0.8163265306122448,1.0,0.9090909090909091,1.0,0.9448818897637795,1.0,0.963855421686747,1.0,0.9756097560975611,1.0,0.9836065573770492,1.0,0.989399293286219,1.0,0.9937888198757764,1.0,0.997229916897507,1.0
RayBiotech,Novel Coronavirus (SARS-CoV-2) IgM and IgG Dual Combined Antibody Detection Kit (Colloidal Gold Method),30,0.7,80,0.575,2,0.15469613259668505,0.9452054794520548,0.2916666666666666,0.8846153846153845,0.4137931034482759,0.8172588832487309,0.5233644859813085,0.7419354838709677,0.6222222222222222,0.6571428571428571,0.7118644067796609,0.5609756097560975,0.7935222672064777,0.4509803921568627,0.8682170542635659,0.3239436619718309,0.9368029739776952,0.17557251908396937
Roche Diagnostic Corporation,Elecsys Anti-SARS-CoV-2,30,0.9666666666666667,80,1.0,1,1.0,0.996309963099631,1.0,0.9917355371900826,1.0,0.9859154929577465,1.0,0.9782608695652174,1.0,0.9677419354838711,1.0,0.9523809523809523,1.0,0.9278350515463918,1.0,0.8823529411764706,1.0,0.7692307692307692
"SD BIOSENSOR, Inc.",STANDARD Q COVID-19 IgM/IgG Duo,30,0.7666666666666667,80,0.9875,3,0.8720379146919436,0.9744175422567383,0.9387755102040819,0.9442231075697212,0.9633507853403143,0.9080459770114944,0.9761273209549073,0.8639125151883355,0.983957219251337,0.8088737201365189,0.989247311827957,0.738317757009346,0.9930609097918273,0.644605621033545,0.9959404600811909,0.5140997830802603,0.9981916817359856,0.3198380566801619
Salofa Oy,Sienna COVID-19 IgG/IgM Rapid Test Cassette (whole blood/serum/plasma),30,0.9333333333333333,80,0.9875,1,0.8924302788844626,0.9925546765937645,0.9491525423728816,0.9834024896265561,0.9696969696969697,0.9718804920913884,0.9803063457330417,0.9569313593539704,0.986784140969163,0.9367588932806324,0.9911504424778761,0.9080459770114943,0.9942929613189601,0.8639125151883355,0.9966629588431591,0.787375415282392,0.9985141158989599,0.6220472440944882
"Shanghai Fosun Long March Medical Science Co., Ltd.",Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,30,0.36666666666666664,80,0.95,0,0.44897959183673447,0.9310344827586207,0.6470588235294116,0.8571428571428571,0.7586206896551723,0.7777777777777778,0.830188679245283,0.6923076923076923,0.8799999999999999,0.6,0.9166666666666666,0.5,0.9447852760736196,0.39130434782608703,0.967032967032967,0.27272727272727265,0.9850746268656716,0.14285714285714282
Shenzhen JetMay Care Limited,COVID-19 IgM & IgG Test,30,0.6666666666666666,80,1.0,3,1.0,0.9642857142857143,1.0,0.9230769230769231,1.0,0.875,1.0,0.8181818181818181,1.0,0.7499999999999999,1.0,0.6666666666666666,1.0,0.5625,1.0,0.4285714285714285,1.0,0.24999999999999994
"Sugentech, Inc.",SGTi-flex COVID-19 IgG,30,0.9666666666666667,80,1.0,1,1.0,0.996309963099631,1.0,0.9917355371900826,1.0,0.9859154929577465,1.0,0.9782608695652174,1.0,0.9677419354838711,1.0,0.9523809523809523,1.0,0.9278350515463918,1.0,0.8823529411764706,1.0,0.7692307692307692
"Sugentech, Inc.",Sugentech SGTi-flex COVID-19 IgM/IgG,30,1.0,80,0.9,4,0.5263157894736842,1.0,0.7142857142857143,1.0,0.8108108108108107,1.0,0.8695652173913043,1.0,0.9090909090909091,1.0,0.9375,1.0,0.958904109589041,1.0,0.975609756097561,1.0,0.989010989010989,1.0
SurExam Bio-Tech Co. Ltd.,Surplex COVID-19 IgM/IgG Rapid Test,30,0.7666666666666667,80,1.0,3,1.0,0.9747292418772563,1.0,0.9448818897637795,1.0,0.9090909090909092,1.0,0.8653846153846153,1.0,0.8108108108108107,1.0,0.7407407407407407,1.0,0.6474820143884893,1.0,0.5172413793103448,1.0,0.3225806451612903
TBG Biotechnology Corp,SARS-CoV-2 IgG/IgM Rapid Test Kit,30,0.9333333333333333,80,0.95,1,0.6746987951807227,0.9922630560928433,0.8235294117647057,0.9827586206896552,0.8888888888888888,0.9708029197080291,0.9256198347107437,0.9553072625698324,0.9491525423728813,0.9344262295081968,0.9655172413793103,0.9047619047619048,0.9775561097256857,0.8592964824120604,0.986784140969163,0.7808219178082192,0.9940828402366864,0.6129032258064515
TESTSEALABS,SARS-COV-2-IgG/IgM Test Cassette,30,0.8333333333333334,80,0.925,3,0.552486187845304,0.9803729146221787,0.735294117647059,0.9568965517241379,0.8264462809917356,0.9283154121863799,0.881057268722467,0.8927613941018767,0.9174311926605505,0.8473282442748091,0.9433962264150942,0.7872340425531915,0.9628610729023385,0.704016913319239,0.9779951100244498,0.5811518324607331,0.9900990099009902,0.3814432989690722
