manufacturer,device,N_pos,TP,N_neg,TN,FP
Biocan Diagnostics Inc,Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.26666666666666666,80,0.9875,0.012499999999999956
Biocan Diagnostics Inc,Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.7333333333333333,80,0.95,0.050000000000000044
Biocan Diagnostics Inc,biocan Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.9,79,0.9873417721518988,0.012658227848101222
"Biohit Healthcare (Hefei) Co., Ltd.",SARS-CoV-2 IgM/IgG Antibody Test Kit,30,0.9666666666666667,80,0.95,0.050000000000000044
Biolidics Ltd,2019-nCoV IgG/IgM Detection Kit (Colloidal Gold),30,0.3333333333333333,79,0.9746835443037974,0.025316455696202556
Biomedomics,COVID-19 IgM-IgG Rapid Test kit,30,0.8666666666666667,80,0.95,0.050000000000000044
Boditech Med Incorporated,iChroma COVID-19 Ab,30,0.13333333333333333,80,0.9875,0.012499999999999956
"CTK Biotech, Inc.",OnSite COVID-19 IgG/IgM Rapid Test,30,0.9666666666666667,80,0.9875,0.012499999999999956
"Cellex, Inc.",Cellex qSARs-CoV-2 IgG/IgM Rapid Test,30,0.06666666666666667,80,1.0,0.0
Changzhou Confucius Biotechnology Co Ltd,COVID-19 IgG/IgM Rapid Test Cassette (WB/S/P),30,0.13333333333333333,80,0.95,0.050000000000000044
ChemBio,DPP COVID-19 IgM/IgG System,28,0.5714285714285714,80,0.8625,0.13749999999999996
"Chemtron Biotech, Inc.",Rapid COVID-19 IgM/IgG Antibody Screen Test,30,0.2,80,1.0,0.0
"Doctorspot Technologies Inc,",COVID-19 SARS-CoV-2 IgM/IgG Antibody Rapid Test Kit (Colloidal Gold),30,0.16666666666666666,80,1.0,0.0
EUROIMMUN Medizinische Labordiagnostika AG,Anti-SARS-CoV-2-NCP ELISA (IgM),30,0.3,80,0.9875,0.012499999999999956
"GP Getein Biotech, Inc.",One Step Test for Novel Coronavirus (2019-nCoV) IgM/IgG antibody (Colloidal Gold),30,0.5666666666666667,80,0.9875,0.012499999999999956
GenBody Inc.,GenBody COVID-19 IgM/IgG,30,0.4,80,0.9875,0.012499999999999956
Genobio Pharmaceutical Co. Ltd,Virusee® COVID-19 IgM/IgG Lateral Flow Assay,30,0.5666666666666667,80,0.7625,0.23750000000000004
"Guangzhou Fenghua Bioengineering Co., Ltd.",SARS-COV-2 IgM/IgG Combo Rapid Test Kit,30,0.7,80,0.65,0.35
"H-Guard (China) Co., Ltd.",Novel Coronavirus COVID-19 IgM/IgG Test Kit (colloidal gold),30,0.5333333333333333,80,0.9625,0.03749999999999998
Hangzhou AllTest Biotech Co. Ltd,2019-nCoV IgG/IgM Rapid Test Cassette(Whole Blood/Serum/Plasma),30,0.8333333333333334,80,0.9875,0.012499999999999956
"Hangzhou Biotest Biotech, Co., Ltd.",Covid-19 IgG/IgM Rapid Test Cassette,30,1.0,80,1.0,0.0
"Hangzhou Laihe Biotech Co., Ltd.",Novel Coronavirus (2019-nCoV) IgM/IgG Antibody Combo Test Kit (Colloidal Gold),30,0.9666666666666667,80,1.0,0.0
"Hangzhou Realy Tech Co., LTD",COVID-19 IgG/IgM Rapid Device Test,30,0.9666666666666667,79,0.9493670886075949,0.05063291139240511
Healgen,COVID-19 IgG/IgM Rapid Test Cassette,30,1.0,80,1.0,0.0
"Humasis Co., Ltd.",Humasis COVID-19 IgG/IgM Test,30,0.8666666666666667,80,1.0,0.0
InBios International Inc.,SCoV-2 Detect™ IgM ELISA,30,0.9666666666666667,80,0.9875,0.012499999999999956
"InBios International, Inc.",InBios SCoV-2 Detect IgM/IgG Rapid Test,30,0.8333333333333334,80,1.0,0.0
"Innovita (Tangshan) Biological Technology Co., Ltd.",One Step Rapid Test 2019-nCoV Ab Test (Colloidal Gold) IgM/IgG Whole Blood/Serum/Plasma Combo,30,0.9333333333333333,80,0.9875,0.012499999999999956
Invenio Medical Inc.,COVID-19 IgG/IgM Ab Rapid Test,30,0.7666666666666667,80,1.0,0.0
Jiangsu Dablood Pharmaceutical Co. Ltd,COVID-19 IgM/IgG One Step Rapid Test,30,0.9333333333333333,80,0.975,0.025000000000000022
Jiangsu Superbio Biomedical (Nanjing) Co Ltd,SARS-CoV-2 (COVID-19) IgM/IgG Antibody Fast Detection Kit (Colloidal Gold),30,0.4,80,0.9875,0.012499999999999956
"Jiangsu Well Biotech Co, Ltd.",COVID-19 IgM/IgG Rapid Test (Colloidal gold),30,0.9666666666666667,80,0.95,0.050000000000000044
"Jiangsu Well Biotech Co., Ltd.",COVID-19 IgM/IgG Rapid Test,30,0.9,80,1.0,0.0
Liming Bio,Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,30,0.06666666666666667,80,1.0,0.0
LumiQuick Diagnostics,Quick Profile 2019-nCoV IgG/IgM Test Card,30,0.8666666666666667,80,0.9375,0.0625
MEDsan GmbH,"MEDsan biological health solutions, MEDsan COVID-19 IgM/IgG Rapid Test",30,0.9,80,0.9625,0.03749999999999998
"MOKOBIO Biotechnology R&D Center, INC.",SARS-CoV-2 IgM & IgG Quantum Dot Immunoassay,30,0.6666666666666666,80,0.9125,0.08750000000000002
MP Biomedicals Asia Pacific Pte. Ltd.,MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,30,0.6666666666666666,80,0.975,0.025000000000000022
Megna Health Inc.,Megna Rapid COVID-19 IgM/IgG Combo Test Kit,30,0.8333333333333334,80,0.975,0.025000000000000022
Nanjing Vazyme Medical Technology Co. LTD,Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),30,0.6666666666666666,80,0.775,0.22499999999999998
"Nantong Egens Biotechnology Co., Ltd.",COVID-19 IgG/IgM Rapid Test Kit,30,0.7333333333333333,80,0.5,0.5
"Nirmidas Biotech, Inc",COVID-19 (SARS-CoV-2) IgM/IgG Antibody Detection Kit,60,0.9166666666666666,160,0.98125,0.018750000000000044
"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),30,1.0,80,0.9875,0.012499999999999956
"PCL, Inc.",PCL COVID19 IgG/IgM Rapid Gold,30,0.9333333333333333,80,0.9875,0.012499999999999956
Phamatech,COVID19 RAPID TEST,30,0.26666666666666666,80,0.975,0.025000000000000022
"Predictive Laboratories, Inc.",Assurance AB COVID-19 IgM/IgG Rapid Antibody Test,30,0.5,80,1.0,0.0
RayBiotech,Novel Coronavirus (SARS-CoV-2) IgM and IgG Dual Combined Antibody Detection Kit (Colloidal Gold Method),30,0.6,80,0.575,0.42500000000000004
"SD BIOSENSOR, Inc.",STANDARD Q COVID-19 IgM/IgG Duo,30,0.5333333333333333,80,1.0,0.0
Salofa Oy,Sienna COVID-19 IgG/IgM Rapid Test Cassette (whole blood/serum/plasma),30,0.9,80,1.0,0.0
"Shanghai Fosun Long March Medical Science Co., Ltd.",Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,30,0.1,80,0.9625,0.03749999999999998
Shenzhen JetMay Care Limited,COVID-19 IgM & IgG Test,30,0.5333333333333333,80,1.0,0.0
"Sugentech, Inc.",Sugentech SGTi-flex COVID-19 IgM/IgG,30,0.9333333333333333,80,0.9,0.09999999999999998
SurExam Bio-Tech Co. Ltd.,Surplex COVID-19 IgM/IgG Rapid Test,30,0.7666666666666667,80,1.0,0.0
TBG Biotechnology Corp,SARS-CoV-2 IgG/IgM Rapid Test Kit,30,0.9333333333333333,80,0.95,0.050000000000000044
TESTSEALABS,SARS-COV-2-IgG/IgM Test Cassette,30,0.7333333333333333,80,0.9875,0.012499999999999956
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Rapid Test,30,0.8,80,0.9875,0.012499999999999956
Teco Diagnostics,Scanwell SARS-CoV-2 IgM & IgG Test,30,0.9,80,1.0,0.0
The Lab-19,COVID-19 IgM/IgG Antibodies Rapid Test,30,0.9666666666666667,80,1.0,0.0
"Tianjin Beroni Biotechnology Co., Ltd.",SARS-COV-2 IgG/IgM Antibody Detection Kit,30,0.8333333333333334,80,0.9875,0.012499999999999956
Tianjin New Bay Bioresearch C. #1,Quik Pac II COVID-19 IgG & IgM Test,30,0.9333333333333333,80,0.975,0.025000000000000022
Top Biotech Sdn. Bhd.,Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,30,0.9333333333333333,80,0.9,0.09999999999999998
Vincitek LLC,Vincitek S2-AB Test Card,30,0.5333333333333333,80,1.0,0.0
"W.H.P.M, Inc.",Covisure Covid-19 IgM/IgG Rapid Test,30,0.7666666666666667,80,0.95,0.050000000000000044
Wuhan Easy Diagnosis Biomedicine Co. Ltd.,COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,30,1.0,80,0.8875,0.11250000000000004
"Xiamen AmonMed Biotechnology Co., Ltd",COVID-19 IgM/IgG Test Kit (colloidal gold),30,0.7,80,1.0,0.0
"Xiamen Biotime Biotechnology Co., Ltd.",Biotime SARS-CoV-2 IgG/IgM Rapid Qualitative Test,30,1.0,80,0.9875,0.012499999999999956
"ZEUS Scientific, Inc.",ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,30,0.9,80,0.9375,0.0625
Zhongshan Bio-Tech Co LTD,SARS-CoV-2 IgM-IgG (GICA),30,0.5,80,0.975,0.025000000000000022
Zhuhai Livzon Diagnostic Inc.,IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronavirus (SARS-COV-2),30,0.9333333333333333,80,1.0,0.0
Zhuhai Livzon Diagnostics Inc,Livzon IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronovirus (SARS-Cov-2) Lateral Flow,30,0.8666666666666667,80,0.975,0.025000000000000022
